"","n_items","pic_lt1","pic_lt2","pic_lt3","dd_mm_yyyy","hh_mm_star","hh_mm_end","n_garb_bin","obs","coords.x1","coords.x2","optional","beach","transect","item","activity"
"1",1,"DCIM/20181230133714953.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27543367,-32.31076639,TRUE,1,1,"plastic-bag","shoreline and recreational"
"2",1,"DCIM/20181230133826956.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27542188,-32.31077874,TRUE,1,1,"plastic-bag","shoreline and recreational"
"3",1,"DCIM/20181230134025238.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,"Glove Packaging",-52.27543646,-32.31077426,TRUE,1,1,"bleach-cleaner-bottles","ocean waterway"
"4",1,"DCIM/20181230134216079.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27544249,-32.31076753,TRUE,1,1,"plastic-bag","shoreline and recreational"
"5",1,"DCIM/20181230134354862.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27547156,-32.31079742,TRUE,1,1,"plastic-bag","shoreline and recreational"
"6",1,"DCIM/20181230134442666.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27547412,-32.31079583,TRUE,1,1,"ocean-waterway-activities","ocean waterway"
"7",1,"DCIM/20181230134713361.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27548119,-32.31080189,TRUE,1,1,"ropes","ocean waterway"
"8",1,"DCIM/20181230134901453.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27548143,-32.31080485,TRUE,1,1,"plastic-bag","shoreline and recreational"
"9",1,"DCIM/20181230135016907.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27549751,-32.31080472,TRUE,1,1,"food-packing","shoreline and recreational"
"10",1,"DCIM/20181230135518528.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27553645,-32.31081438,TRUE,1,1,"ocean-waterway-activities","ocean waterway"
"11",1,"DCIM/20181230135624703.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27553095,-32.31081401,TRUE,1,1,"beverage-PET","shoreline and recreational"
"12",1,"DCIM/20181230135707917.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27555028,-32.31082348,TRUE,1,1,"clothing-shoes","shoreline and recreational"
"13",1,"DCIM/20181230135752405.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27557658,-32.31084473,TRUE,1,1,"plastic-bag","shoreline and recreational"
"14",1,"DCIM/20181230135833894.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27558466,-32.31086475,TRUE,1,1,"plastic-bag","shoreline and recreational"
"15",1,"DCIM/20181230135918042.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27559635,-32.31087105,TRUE,1,1,"beverage-PET","shoreline and recreational"
"16",1,"DCIM/20181230140122160.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27561231,-32.31087595,TRUE,1,1,"ropes","ocean waterway"
"17",1,"DCIM/20181230140323761.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27560418,-32.31087601,TRUE,1,1,"ropes","ocean waterway"
"18",1,"DCIM/20181230140411650.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,"Erro 2. No Fio De Nylon",-52.2756212,-32.31087253,TRUE,1,1,"plastic-bag","shoreline and recreational"
"19",1,"DCIM/20181230140613146.jpg","DCIM/20181230140625390.jpg",NA,2018-12-30,"11:33","12:43",NA,NA,-52.27562305,-32.31086889,TRUE,1,1,"beverage-PET","shoreline and recreational"
"20",1,"DCIM/20181230140719510.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27562514,-32.310867,TRUE,1,1,"ocean-waterway-activities","ocean waterway"
"21",1,"DCIM/20181230140847890.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27562092,-32.31085188,TRUE,1,1,"fishing-line","ocean waterway"
"22",1,"DCIM/20181230141217273.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,"Erro Pic-Lit1 E Pic-LiT2. Foto Em Campo Pic-Beach",-52.27563187,-32.31090436,TRUE,1,1,"ocean-waterway-activities","ocean waterway"
"23",1,"DCIM/20181230141418820.jpg","DCIM/20181230141439626.jpg",NA,2018-12-30,"11:33","12:43",NA,"Foto No Campo Pic-Beach",-52.27563273,-32.310894,TRUE,1,1,"fishing-line","ocean waterway"
"24",1,"DCIM/20181230141900341.jpg","DCIM/20181230141912350.jpg",NA,2018-12-30,"11:33","12:43",NA,NA,-52.27565916,-32.31093891,TRUE,1,1,"clothing-shoes","shoreline and recreational"
"25",1,"DCIM/20181230142207069.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,"Bandeira De Boia De Pesca",-52.27565916,-32.31093891,TRUE,1,1,"plastic-sheeting-tarps","ocean waterway"
"26",1,"DCIM/20181230142426387.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27565916,-32.31093891,TRUE,1,1,"food-packing","shoreline and recreational"
"27",1,"DCIM/20181230142530813.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,"Tetrapack",-52.27565916,-32.31093891,TRUE,1,1,"food-packing","shoreline and recreational"
"28",1,"DCIM/20181230142621021.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27565916,-32.31093891,TRUE,1,1,"clothing-shoes","shoreline and recreational"
