"","n_items","pic_lt1","pic_lt2","pic_lt3","dd_mm_yyyy","hh_mm_star","hh_mm_end","n_garb_bin","obs","coords.x1","coords.x2","optional","beach","transect","eng","general"
"1",1,"DCIM/20181231192913012.jpg",NA,NA,2018-12-31,"17:21","17:39",NA,NA,-52.21280775,-32.23868465,TRUE,"02",1,"ocean-waterway-activities","ocean-waterway-activities"
"2",1,"DCIM/20181230141217273.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,"Erro Pic-Lit1 E Pic-LiT2. Foto Em Campo Pic-Beach",-52.27563187,-32.31090436,TRUE,"01",1,"ocean-waterway-activities","ocean-waterway-activities"
"3",1,"DCIM/20181230134442666.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27547412,-32.31079583,TRUE,"01",1,"ocean-waterway-activities","ocean-waterway-activities"
"4",1,"DCIM/20181231193739666.jpg",NA,NA,2018-12-31,"17:21","17:39",NA,"Saco De Batata. Item De Pesca?",-52.21315333,-32.23906781,TRUE,"02",1,"ocean-waterway-activities","ocean-waterway-activities"
"5",1,"DCIM/20181230140719510.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27562514,-32.310867,TRUE,"01",1,"ocean-waterway-activities","ocean-waterway-activities"
"6",1,"DCIM/20181231201151249.jpg",NA,NA,2018-12-31,"18:00","18:25",NA,"PeDaco De Luva De BorRacha De LIMPeza",-52.20606356,-32.23224312,TRUE,"02",3,"ocean-waterway-activities","ocean-waterway-activities"
"7",1,"DCIM/20181230135518528.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27553645,-32.31081438,TRUE,"01",1,"ocean-waterway-activities","ocean-waterway-activities"
"8",1,NA,NA,NA,2018-12-31,"18:00","18:25",NA,"PH",-52.20581722,-32.232062,TRUE,"02",3,"medical-personal-hygiene","medical-personal-hygiene"
"9",1,NA,NA,NA,2018-12-31,"18:00","18:25",NA,"Papel umEdecidO",-52.20575084,-32.23213046,TRUE,"02",3,"medical-personal-hygiene","medical-personal-hygiene"
"10",1,NA,NA,NA,2018-12-30,"20:36","20:44",NA,"PH",-52.14954041,-32.18566595,TRUE,"03",2,"medical-personal-hygiene","medical-personal-hygiene"
"11",1,NA,NA,NA,2018-12-31,"18:00","18:25",NA,"Rolo De PapelaO De Ph, Com PH Dentro...",-52.20583495,-32.23207195,TRUE,"02",3,"medical-personal-hygiene","medical-personal-hygiene"
"12",1,NA,NA,NA,2018-12-31,"18:00","18:25",NA,"Cabo De Vassoura (1/4)",-52.20619352,-32.23253058,TRUE,"02",3,"dumping-activities","dumping-activities"
"13",1,NA,"DCIM/20181230162033930.jpg",NA,2018-12-30,"13:58","14:28",NA,"Lamp",-52.27022101,-32.30369862,TRUE,"01",3,"dumping-activities","dumping-activities"
"14",1,NA,NA,NA,2018-12-31,"18:00","18:25",NA,NA,-52.2058887,-32.23221147,TRUE,"02",3,"dumping-activities","dumping-activities"
"15",1,NA,NA,NA,2018-12-31,"18:00","18:25",NA,"Extensor",-52.20618084,-32.2324701,TRUE,"02",3,"shoreline-and-recreational-activities","shoreline-and-recreational-activities"
"16",1,NA,NA,NA,2018-12-31,"17:21","17:39",NA,NA,-52.21272379,-32.23855624,TRUE,"02",1,"shoreline-and-recreational-activities","shoreline-and-recreational-activities"
"17",1,NA,NA,NA,2018-12-30,"13:58","14:28",NA,NA,-52.26988558,-32.30325254,TRUE,"01",3,"shoreline-and-recreational-activities","shoreline-and-recreational-activities"
"18",1,"DCIM/20181230225806029.jpg",NA,NA,2018-12-30,"20:57","21:00",NA,NA,-52.15382639,-32.18861286,TRUE,"03",3,"shoreline-and-recreational-activities","shoreline-and-recreational-activities"
"19",1,"DCIM/20181230230002755.jpg",NA,NA,2018-12-30,"20:57","21:00",NA,NA,-52.15358729,-32.18847614,TRUE,"03",3,"shoreline-and-recreational-activities","shoreline-and-recreational-activities"
"20",1,"DCIM/20181231200526046.jpg","DCIM/20181231200537101.jpg",NA,2018-12-31,"18:00","18:25",NA,"Extensor",-52.20617841,-32.23247105,TRUE,"02",3,"shoreline-and-recreational-activities","shoreline-and-recreational-activities"
"21",1,NA,"DCIM/20181230162525647.jpg",NA,2018-12-30,"13:58","14:28",NA,NA,-52.27034565,-32.30387574,TRUE,"01",3,"shoreline-and-recreational-activities","shoreline-and-recreational-activities"
"22",1,NA,NA,NA,2018-12-30,"20:20","20:27",NA,NA,-52.14701105,-32.1833452,TRUE,"03",1,"shoreline-and-recreational-activities","shoreline-and-recreational-activities"
"23",1,NA,NA,NA,2018-12-31,"18:00","18:25",NA,NA,-52.20618241,-32.23251752,TRUE,"02",3,"shoreline-and-recreational-activities","shoreline-and-recreational-activities"
"24",1,NA,NA,NA,2018-12-31,"18:00","18:25",NA,"Rexona. Desodorante. Lata De...",-52.20583226,-32.23215986,TRUE,"02",3,"shoreline-and-recreational-activities","shoreline-and-recreational-activities"
"25",1,"DCIM/20181230161616282.jpg",NA,NA,2018-12-30,"13:58","14:28",NA,NA,-52.27013467,-32.30356031,TRUE,"01",3,"cars-car-parts","dumping-activities"
"26",1,"DCIM/20181230143948566.jpg",NA,NA,2018-12-30,"11:33","12:43",NA,NA,-52.27594417,-32.31137774,TRUE,"01",1,"cars-car-parts","dumping-activities"
"27",1,NA,NA,NA,2018-12-31,"18:00","18:25",NA,NA,-52.20619498,-32.23252812,TRUE,"02",3,"straw-stirrers","shoreline-and-recreational-activities"
"28",1,NA,NA,NA,2018-12-30,"20:36","20:44",NA,NA,-52.14965402,-32.18565094,TRUE,"03",2,"straw-stirrers","shoreline-and-recreational-activities"
