"","oceancons","n_items","pic_lt1","pic_lt2","pic_lt3","beach","transect","dd_mm_yyyy","hh_mm_star","hh_mm_end","n_garb_bin","obs","coords.x1","coords.x2","optional"
"1","08",1,"DCIM/20190216132039180.jpg",NA,NA,"01",1,"2019/02/16",NA,NA,NA,"Start",-52.2732835696403,-32.3077297124392,TRUE
"2","02",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,NA,NA,-52.2732758484979,-32.3077550777474,TRUE
"3","02",2,NA,NA,NA,"01",1,"2019/02/16",NA,NA,NA,NA,-52.2732899410682,-32.3077218167682,TRUE
"4","10",2,NA,NA,NA,"01",1,"2019/02/16",NA,NA,NA,NA,-52.2732741793044,-32.3077414973593,TRUE
"5","27",2,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.273272303349,-32.3077453653019,TRUE
"6","04",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732526199629,-32.3077192190452,TRUE
"7","02",3,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732400177077,-32.3076959599631,TRUE
"8","02",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.273258834693,-32.3076642877169,TRUE
"9","02",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732420357625,-32.3076536438158,TRUE
"10","10",2,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732314079691,-32.3076479275917,TRUE
"11","04",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732073450244,-32.3076586694632,TRUE
"12","02",2,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732107439092,-32.3076522092933,TRUE
"13","44",1,"DCIM/20190216133023994.jpg",NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732194461821,-32.3076558240526,TRUE
"14","08",1,"DCIM/20190216133058251.jpg",NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732093547534,-32.307646573767,TRUE
"15","21",4,"DCIM/20190216133144896.jpg",NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732107012261,-32.30765189895,TRUE
"16","28",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732094313578,-32.3076570244284,TRUE
"17","02",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732197331134,-32.3076261118591,TRUE
"18","04",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732193200967,-32.3076180064061,TRUE
"19","18",1,"DCIM/20190216133407564.jpg",NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732010007098,-32.3076440318432,TRUE
"20","27",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732124644296,-32.3076289066603,TRUE
"21","27",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732145565028,-32.3076196644281,TRUE
"22","02",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732072457467,-32.307616265926,TRUE
"23","04",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732110593312,-32.3076089423451,TRUE
"24","21",3,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732105686398,-32.3076140763983,TRUE
"25","46",1,"DCIM/20190216133709212.jpg",NA,NA,"01",1,"2019/02/16",NA,NA,0,"Espiral de plastico",-52.2732226505524,-32.3076205936726,TRUE
"26","08",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732225102746,-32.3075898741265,TRUE
"27","04",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731971193092,-32.3075892453207,TRUE
"28","27",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2732042454026,-32.3076037703123,TRUE
"29","10",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,"Tetrapack",-52.2732083350991,-32.3075794024733,TRUE
"30","10",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731823019015,-32.3075775782868,TRUE
"31","23",1,"DCIM/20190216134018843.jpg",NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731710590943,-32.3075830963096,TRUE
"32","02",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731476690048,-32.3075671850534,TRUE
"33","35",1,"DCIM/20190216134115231.jpg",NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731551111878,-32.3075438987953,TRUE
"34","24",1,"DCIM/20190216134203321.jpg",NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.273128334596,-32.3075159130237,TRUE
"35","04",3,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731259761711,-32.3075213514126,TRUE
"36","02",3,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731449167475,-32.30750645404,TRUE
"37","46",1,"DCIM/20190216134421743.jpg",NA,NA,"01",1,"2019/02/16",NA,NA,0,"Perfume",-52.273120634525,-32.3075005774431,TRUE
"38","23",3,"DCIM/20190216134544489.jpg",NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731305382409,-32.3074981227518,TRUE
"39","44",1,"DCIM/20190216134626439.jpg",NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731673227579,-32.3075050488096,TRUE
"40","08",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.273155772755,-32.3074909792582,TRUE
"41","02",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731253942068,-32.307478986033,TRUE
"42","10",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731078285459,-32.3074915890033,TRUE
"43","21",3,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731121248332,-32.3075019653606,TRUE
"44","21",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731284291727,-32.3074862685744,TRUE
"45","02",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731095266393,-32.3074846768916,TRUE
"46","44",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,"Glove",-52.2731259998345,-32.3074857254577,TRUE
"47","04",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731232597763,-32.307478606051,TRUE
"48","08",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731332916309,-32.3074809585482,TRUE
"49","18",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731323201249,-32.3074855497602,TRUE
"50","21",3,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731275712604,-32.3074838654925,TRUE
"51","46",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,"Lamp",-52.2731300294394,-32.3074748178057,TRUE
"52","06",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731217538372,-32.307464690929,TRUE
"53","46",1,"DCIM/20190216135143921.jpg",NA,NA,"01",1,"2019/02/16",NA,NA,0,"Styrofoam",-52.2731289419561,-32.3074808268476,TRUE
"54","02",3,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731067782434,-32.3074649792288,TRUE
"55","21",2,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.273122239143,-32.307466383665,TRUE
"56","27",2,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731099252127,-32.3074724052242,TRUE
"57","44",2,"DCIM/20190216135547882.jpg",NA,NA,"01",1,"2019/02/16",NA,NA,0,"Flag  and  plastic pants",-52.2731150203592,-32.3074613893264,TRUE
"58","02",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2731021340739,-32.3074578564307,TRUE
"59","27",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2730989672572,-32.3074591537962,TRUE
"60","10",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2730914275302,-32.3074557651073,TRUE
"61","21",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2730921857067,-32.3074355199602,TRUE
"62","02",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2730922402899,-32.3074371096627,TRUE
"63","35",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,"Cano",-52.2731025193552,-32.3074455845831,TRUE
"64","27",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2730832361084,-32.3074395339524,TRUE
"65","44",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,"Glove",-52.2730979903029,-32.3074338556582,TRUE
"66","02",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2730916492931,-32.3074221724978,TRUE
"67","04",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2730726339974,-32.3074121942648,TRUE
"68","10",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,"Pofe e iogurte",-52.2730664919654,-32.3073985913983,TRUE
"69","04",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2730585801719,-32.3074040935357,TRUE
"70","28",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2730349634354,-32.307405194206,TRUE
"71","23",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.273024002368,-32.3073432104843,TRUE
"72","27",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2729858311817,-32.3073353844184,TRUE
"73","27",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2729464949028,-32.3073270942337,TRUE
"74","02",1,NA,NA,NA,"01",1,"2019/02/16",NA,NA,0,NA,-52.2729818095742,-32.3072889945049,TRUE
